福利,工作标签,城市,学历,工作年限,薪资,公司名称
"['电商', '支付']",本科,北京,人人贷商务顾问（北京）有限公司,3-5年,12k-24k,"技术氛围好,团队好"
[],本科,北京,北京三快在线科技有限公司,3-5年,20k-35k,免费班车
['脚本'],大专,上海,启赟金融信息服务（上海）有限公司,3-5年,12k-20k,"弹性时间,美女多,扁平化管理"
[],本科,杭州,仟金顶网络科技有限公司,3-5年,15k-30k,"项目盈利,顶级资本,技术驱动,福利好"
[],本科,西安,上海趣医网络科技有限公司,3-5年,6k-8k,股权激励；年终奖；车基金；职位晋升。
[],大专,南京,上海捷科智诚科技有限公司,5-10年,12k-22k,"自动化测试,软件测试"
工作标签,学历,城市,公司名称,工作年限,薪资,福利
['脚本'],本科,上海,武汉佰钧成技术有限责任公司,3-5年,16k-25k,"六险一金,前沿技术,大牛带队,不加班"
['脚本'],本科,上海,上海达家迎信息科技有限公司,5-10年,20k-40k,"股票期权,项目奖金,扁平化管理,旅游基金"
"['电商', '新零售', '测试开发', '脚本']",本科,北京,浙江银泰百货有限公司,3-5年,15k-30k,"阿里团队,技术大牛,新零售前沿,引领潮流"
['脚本'],本科,上海,瞬联软件科技（北京）有限公司,1-3年,11k-15k,"五险一金,弹性工作,办公环境好,前景好"
[],大专,深圳,深圳市鑫溢网络科技有限公司,3-5年,15k-30k,"带薪休假,年终双薪"
[],本科,上海,众安在线财产保险股份有限公司,3-5年,15k-30k,"前景好,平台大,福利多"
"['物流', '脚本']",大专,珠海,珠海宏桥高科技有限公司,3-5年,8k-12k,"自动化测试,五险一金"
[],本科,广州,广州至真信息科技有限公司,5-10年,15k-20k,"年终多薪,周末双休,广告营销平,电商平台"
"['移动互联网', '金融', '功能测试']",大专,上海,北京中关村科金技术有限公司,3-5年,15k-25k,"晋升渠道,技术为主"
[],本科,北京,凡普金科集团有限公司,5-10年,25k-40k,"六险一金,数据驱动,敏捷开发,行业风口"
